
backend  | 2026-04-01 11:54:18.365 | WARNING:services.scraper_service:Skipping JS-heavy page
backend  | 2026-04-01 11:54:18.368 | INFO:services.scraper_service:🔍 Fetching URL: https://books.toscrape.com/category/books/science-fiction_16/index.html
backend  | 2026-04-01 11:54:18.620 | ERROR:trafilatura.downloads:not a 200 response: 404 for URL https://books.toscrape.com/category/books/science-fiction_16/index.html
backend  | 2026-04-01 11:54:18.621 | INFO:services.scraper_service:🔍 Downloaded content length: 0
backend  | 2026-04-01 11:54:18.621 | WARNING:trafilatura.core:discarding data: None
backend  | 2026-04-01 11:54:18.621 | INFO:services.scraper_service:🔍 Extracted content length: 0
backend  | 2026-04-01 11:54:18.621 | WARNING:services.scraper_service:Skipping JS-heavy page
backend  | 2026-04-01 11:54:18.621 | INFO:services.scraper_service:🔍 Fetching URL: https://books.toscrape.com/category/books/psychology_26/index.html
backend  | 2026-04-01 11:54:18.821 | ERROR:trafilatura.downloads:not a 200 response: 404 for URL https://books.toscrape.com/category/books/psychology_26/index.html
backend  | 2026-04-01 11:54:18.821 | INFO:services.scraper_service:🔍 Downloaded content length: 0
backend  | 2026-04-01 11:54:18.822 | WARNING:trafilatura.core:discarding data: None
backend  | 2026-04-01 11:54:18.822 | INFO:services.scraper_service:🔍 Extracted content length: 0
backend  | 2026-04-01 11:54:18.822 | WARNING:services.scraper_service:Skipping JS-heavy page
backend  | 2026-04-01 11:54:18.822 | INFO:services.scraper_service:🔍 Fetching URL: https://books.toscrape.com/category/books/historical_42/index.html
backend  | 2026-04-01 11:54:19.038 | ERROR:trafilatura.downloads:not a 200 response: 404 for URL https://books.toscrape.com/category/books/historical_42/index.html
backend  | 2026-04-01 11:54:19.038 | INFO:services.scraper_service:🔍 Downloaded content length: 0
backend  | 2026-04-01 11:54:19.038 | WARNING:trafilatura.core:discarding data: None
backend  | 2026-04-01 11:54:19.038 | INFO:services.scraper_service:🔍 Extracted content length: 0
backend  | 2026-04-01 11:54:19.038 | WARNING:services.scraper_service:Skipping JS-heavy page
backend  | 2026-04-01 11:54:19.039 | INFO:services.scraper_service:🔍 Fetching URL: https://books.toscrape.com/category/books/autobiography_27/index.html
backend  | 2026-04-01 11:54:19.242 | ERROR:trafilatura.downloads:not a 200 response: 404 for URL https://books.toscrape.com/category/books/autobiography_27/index.html
backend  | 2026-04-01 11:54:19.243 | INFO:services.scraper_service:🔍 Downloaded content length: 0
backend  | 2026-04-01 11:54:19.244 | WARNING:trafilatura.core:discarding data: None
backend  | 2026-04-01 11:54:19.244 | INFO:services.scraper_service:🔍 Extracted content length: 0
backend  | 2026-04-01 11:54:19.244 | WARNING:services.scraper_service:Skipping JS-heavy page
backend  | 2026-04-01 11:54:19.244 | INFO:services.scraper_service:🔍 Fetching URL: https://books.toscrape.com/category/books/short-stories_45/index.html
backend  | 2026-04-01 11:54:19.247 | ERROR:trafilatura.downloads:not a 200 response: 404 for URL https://books.toscrape.com/category/books/politics_48/index.html
backend  | 2026-04-01 11:54:19.247 | INFO:services.scraper_service:🔍 Downloaded content length: 0
backend  | 2026-04-01 11:54:19.247 | WARNING:trafilatura.core:discarding data: None
backend  | 2026-04-01 11:54:19.247 | INFO:services.scraper_service:🔍 Extracted content length: 0
backend  | 2026-04-01 11:54:19.248 | WARNING:services.scraper_service:Skipping JS-heavy page
backend  | 2026-04-01 11:54:19.250 | WARNING:urllib3.connectionpool:Connection pool is full, discarding connection: books.toscrape.com. Connection pool size: 1
backend  | 2026-04-01 11:54:19.252 | WARNING:urllib3.connectionpool:Connection pool is full, discarding connection: books.toscrape.com. Connection pool size: 1
backend  | 2026-04-01 11:54:19.254 | WARNING:urllib3.connectionpool:Connection pool is full, discarding connection: books.toscrape.com. Connection pool size: 1
